t_s,h_Wm2K
5.301507537688442540e+01,5.134227273861390017e+01
5.399497487437186294e+01,5.134227273861390017e+01
5.497487437185930048e+01,5.134227273861390017e+01
5.595477386934673802e+01,5.134227273861390017e+01
5.693467336683417557e+01,5.134227273861390017e+01
5.791457286432160600e+01,5.134227273861390017e+01
5.889447236180904355e+01,5.134227273861390017e+01
5.987437185929648109e+01,5.134227273861390017e+01
6.085427135678391863e+01,5.134227273861390017e+01
6.183417085427135618e+01,5.134227273861390017e+01
6.281407035175879372e+01,5.134227273861390017e+01
6.379396984924623126e+01,5.134227273861390017e+01
6.477386934673367591e+01,5.134227273861390017e+01
6.575376884422109924e+01,5.134227273861390017e+01
6.673366834170855100e+01,5.134227273861390017e+01
6.771356783919597433e+01,5.134227273861390017e+01
6.869346733668342608e+01,5.134227273861390017e+01
6.967336683417084942e+01,5.134227273861390017e+01
7.065326633165828696e+01,5.134227273861390017e+01
7.163316582914572450e+01,5.134227273861390017e+01
7.261306532663316204e+01,5.134227273861390017e+01
7.359296482412059959e+01,5.134227273861390017e+01
7.457286432160803713e+01,5.134227273861390017e+01
7.555276381909547467e+01,5.134227273861390017e+01
7.653266331658291222e+01,5.134227273861390017e+01
7.751256281407034976e+01,5.134227273861390017e+01
7.849246231155778730e+01,5.134227273861390017e+01
7.947236180904522485e+01,5.134227273861390017e+01
8.000000000000000000e+01,5.134227273861390017e+01
8.045226130653266239e+01,5.134227273861390017e+01
8.143216080402009993e+01,5.134227273861390017e+01
8.241206030150753747e+01,5.134227273861390017e+01
8.339195979899497502e+01,5.134227273861390017e+01
8.437185929648241256e+01,5.134227273861390017e+01
8.535175879396985010e+01,5.134227273861390017e+01
8.633165829145728765e+01,5.134227273861390017e+01
8.731155778894472519e+01,5.134227273861390017e+01
8.829145728643216273e+01,5.134227273861390017e+01
8.927135678391960028e+01,5.134227273861390017e+01
9.025125628140703782e+01,5.134227273861390017e+01
9.123115577889447536e+01,5.134227273861390017e+01
9.221105527638191290e+01,5.134227273861390017e+01
9.319095477386935045e+01,5.134227273861390017e+01
9.417085427135678799e+01,5.134227273861390017e+01
9.515075376884422553e+01,5.134227273861390017e+01
9.613065326633166308e+01,5.134227273861390017e+01
9.711055276381910062e+01,5.134227273861390017e+01
9.809045226130653816e+01,5.134227273861390017e+01
9.907035175879397570e+01,5.134227273861390017e+01
1.000502512562814132e+02,5.134227273861390017e+01
1.010301507537688508e+02,5.134227273861390017e+01
1.020100502512562883e+02,5.134227273861390017e+01
1.029899497487437259e+02,5.134227273861390017e+01
1.039698492462311634e+02,5.134227273861390017e+01
1.049497487437186010e+02,5.134227273861390017e+01
1.059296482412060385e+02,5.134227273861390017e+01
1.069095477386934760e+02,5.134227273861390017e+01
1.078894472361809136e+02,5.134227273861390017e+01
1.088693467336683511e+02,5.134227273861390017e+01
1.098492462311557745e+02,5.134227273861390017e+01
1.108291457286432120e+02,5.134227273861390017e+01
1.118090452261306496e+02,5.134227273861390017e+01
1.127889447236180871e+02,5.134227273861390017e+01
1.137688442211055246e+02,5.134227273861390017e+01
1.147487437185929622e+02,5.134227273861390017e+01
1.157286432160803997e+02,5.134227273861390017e+01
1.167085427135678373e+02,5.134227273861390017e+01
1.176884422110552748e+02,5.134227273861390017e+01
1.186683417085427124e+02,5.134227273861390017e+01
1.196482412060301499e+02,5.134227273861390017e+01
1.200000000000000000e+02,5.134227273861390017e+01
1.206281407035175874e+02,5.134227273861390017e+01
1.216080402010050250e+02,5.134227273861390017e+01
1.225879396984924625e+02,5.134227273861390017e+01
1.235678391959799001e+02,5.134227273861390017e+01
1.245477386934673376e+02,5.134227273861390017e+01
1.255276381909547752e+02,5.134227273861390017e+01
1.265075376884422127e+02,5.134227273861390017e+01
1.274874371859296502e+02,5.134227273861390017e+01
1.284673366834171020e+02,5.134227273861390017e+01
1.294472361809045253e+02,5.134227273861390017e+01
1.304271356783919487e+02,5.134227273861390017e+01
1.314070351758794004e+02,5.134227273861390017e+01
1.323869346733668522e+02,5.134227273861390017e+01
1.333668341708542755e+02,5.134227273861390017e+01
1.343467336683416988e+02,5.134227273861390017e+01
1.353266331658291506e+02,5.134227273861390017e+01
1.363065326633165739e+02,5.134227273861390017e+01
1.372864321608040257e+02,5.134227273861390017e+01
1.382663316582914490e+02,5.134227273861390017e+01
1.392462311557789008e+02,5.134227273861390017e+01
1.402261306532663241e+02,5.134227273861390017e+01
1.412060301507537758e+02,5.134227273861390017e+01
1.421859296482411992e+02,5.134227273861390017e+01
1.431658291457286509e+02,5.134227273861390017e+01
1.441457286432160743e+02,5.134227273861390017e+01
1.451256281407035260e+02,5.134227273861390017e+01
1.461055276381909493e+02,5.134227273861390017e+01
1.470854271356784011e+02,5.134227273861390017e+01
1.480653266331658244e+02,5.134227273861390017e+01
1.490452261306532762e+02,5.134227273861390017e+01
1.500251256281406995e+02,5.134227273861390017e+01
1.510050251256281513e+02,5.134227273861390017e+01
1.519849246231155746e+02,5.134227273861390017e+01
1.529648241206030264e+02,5.134227273861390017e+01
1.539447236180904497e+02,5.134227273861390017e+01
1.549246231155779014e+02,5.134227273861390017e+01
1.559045226130653248e+02,5.134227273861390017e+01
1.568844221105527765e+02,5.134227273861390017e+01
1.578643216080401999e+02,5.134227273861390017e+01
1.588442211055276516e+02,5.134227273861390017e+01
1.598241206030150749e+02,5.134227273861390017e+01
1.600000000000000000e+02,5.134227273861390017e+01
1.608040201005025267e+02,5.134227273861390017e+01
1.617839195979899500e+02,5.134227273861390017e+01
1.627638190954774018e+02,5.134227273861390017e+01
1.637437185929648251e+02,5.134227273861390017e+01
1.647236180904522769e+02,5.134227273861390017e+01
1.657035175879397002e+02,5.134227273861390017e+01
1.666834170854271520e+02,5.134227273861390017e+01
1.676633165829145753e+02,5.134227273861390017e+01
1.686432160804020270e+02,5.134227273861390017e+01
1.696231155778894504e+02,5.134227273861390017e+01
1.706030150753769021e+02,5.134227273861390017e+01
1.715829145728643255e+02,5.134227273861390017e+01
1.725628140703517488e+02,5.134227273861390017e+01
1.735427135678392006e+02,5.134227273861390017e+01
1.745226130653266239e+02,5.134227273861390017e+01
1.755025125628140756e+02,5.134227273861390017e+01
1.764824120603014990e+02,5.134227273861390017e+01
1.774623115577889507e+02,5.134227273861390017e+01
1.784422110552763741e+02,5.134227273861390017e+01
1.794221105527638258e+02,5.134227273861390017e+01
1.804020100502512491e+02,5.134227273861390017e+01
1.813819095477387009e+02,5.134227273861390017e+01
1.823618090452261242e+02,5.134227273861390017e+01
1.833417085427135760e+02,5.134227273861390017e+01
1.843216080402009993e+02,5.134227273861390017e+01
1.853015075376884511e+02,5.134227273861390017e+01
1.862814070351758744e+02,5.134227273861390017e+01
1.872613065326633262e+02,5.134227273861390017e+01
